id,comentario,clasificacion
1,"Pésima app, no accede a la contraseña sale que tiene error técnico. 0 estrellas.",relevante
2,"Me gustaría hacerles saber a los encargados de las actualizaciones que esta última actualización que hicieron ha empeorado la app, demora mucho en entrar, a veces ni carga, solo se queda en una pantalla negra o blanca por muuuuucho rato, yo disfrutaba esta app porque me permitía usar plin de una manera fácil. Sin embargo, ahora estoy considerando dar de baja a mi cuenta de interbank debido a que se me dificulta el acceso.",no_relevante
3,no me permite transferir dinero a mis otras cuentas,no_relevante
4,no funciona el token digital,relevante
5,la app no guarda historial de mas de 30 dias y necesito todo el año para impuestos,relevante
6,"Que mal por tener una camara pesima ,lo ajustan a una calidad terrible y espaciosa,porque en el momento de pedir token digital y seguir los pasos para validarlo ,en la hora de tomar foto al DNI ,se ve borroso y nisiquiera hace el esfuerzo de enfocar a nuestro gusto ,caundo voy a mi camara normal y quiero tomar una foto al documento ,este inmediatamente lo captura e incluso mas nitido en comparacion de la app de bcp .Por favor arreglen eso ,ya que no quiero acudir a la agencia por falta de tiempo",relevante
7,"Anteriormente estuvo funcionando bien, y ahora no vale para hacer transferencias, recargas, giros, retiros, etc. hace pocos días me afilié a la clave dinámica y ahora de vuelta me pide que me acerque al banco, muy mala... demasiado mala. Sugiero que mejoren para trabajar sin dificultades y necesitamos para cualquier emergencia. No para adorno...que mala.",relevante
8,"Venía usando sin problemas el Token digital. Desde el 1/7/21 que me pide activarlo, pero una vez que marco Activar, me dice que no es posible y que llame al Banco. La atención al cliente es una burla, son amables pero no dan solución alguna ni tienen los medios para ayudar: llamé 3 veces, no dan N° de rec. y repiten lo mismo: que ""escalarán"" mi reclamo y esperar otros 15 días. Reclamé x web y nada. Desinst. y reinst. la App varias veces. Ahora ni aparece la opción del Token. Servicio torpe.",relevante
9,"No se para que actualizaron! Dañaron un app que funcionaba bien. Me sale error, que dobo actualizar y le doy clic y no me deja. Se supone que debía mejorar el servicio no empeorar. Que malo el personal que les hizo esta nueva plataforma! Debo colocar 1 estrella para que se vea mi opinión pero en realidad tienen Cero estrella porque se estallaron horrible!",no_relevante
10,Como que no hay versión disponible si mi teléfono es un galaxy S20 ultra,no_relevante
11,"La aplicación no lee el qr de mi tarjeta y, según he leído en varios vídeos y foros, es un problema de larga data que, aparentemente, no planean solucionar. Pésima aplicación, no brinda ninguna facilidad y genera problemas a quienes tenemos este tipo de tarjetas. Si no poseen el soporte para este tipo de tecnologías no deberían ofrecer productos como este.",relevante
12,Pésima. No puedo apagar las compras por Internet muy mala,no_relevante
