id,comentario,clasificacion_ISO_25010
1,"La ultima actualización es muy mala y muy lenta, para realizar una trasferencia o pago por plin, se demora demasiado para confirmar la clave dinámica, se supone que la actualización es para facilitar el proceso, no para que se haga más tedioso.",autenticidad
2,no carga la clave dinamica,autenticidad
3,casi nunca me llega la clave dinámica y es un dolor de cabeza deben mejorar su sistema,autenticidad
4,"no envía claves dinámicas, se demora",autenticidad
5,nunca puedo hacer pago porque no me sale la clave dinámica,autenticidad
6,"Cuando se requieren claves dinámicas para operaciones o transferencias, estas llegan cuando ya no son validas, entonces prácticamente no se puede usar el aplicativo para pagar.",autenticidad
7,Solo una estrella. Falla demasiado su clave dinámica para operaciones en su app. Pésimo,autenticidad
8,"la peor!!! entidad financiera,,,,, cada vez que hacen sus patéticas actualizaciónes te hacen tener que ir al banco, aún cuando te solicitan el documento y una foto por el aplicativo te manda de igual manera a ir al banco, aparte que su patética aplicacion se queda pegada y en banca por internet no te deja usar el * aparte viven contandote seguros de tarjetas """""""" PATÉTICA ENTIDAD FINANCIERA Y SU APLICATIVO NI HABLAR FATAL!!!!!!"""""""""""""" no sé lo recomiendo a nadie",autenticidad
9,esta pésima esta app no puedo hacer ni un pago solo pide la clave dinámica la cual nunca llega y después de un largo rato llega la notificación cómo si ubiera pagado,autenticidad
10,"Desde un tiempo aquí no puedo hacer mis transacciones, la clave dinámica nunca llega, es un fastidio",autenticidad
11,"La última actualización devuelve el código de confirmación 15 minutos después, no se si es con los Note 20, pero no puedo hacer operaciones.",autenticidad
12,"He tratado de transferir desde un movimiento guardado predeterminado, ingresar 5 minutos después de 4 intentos, luego ingresar a movimientos otros 6 minutos más, para q al final cuando quise realizar la operación me saque dela aplicación x exceso de tiempo de espera, esta horrorosa esta app, antes era más amigable, espero lo solucionen pronto, xq sino hasta luego.",autenticidad
13,muy mala falla su clave dinámica,autenticidad
14,"Desde la última actualización la clave dinámica nunca llega , no permite realizar nada",autenticidad
15,no puedo plinear ya voy 2 dias q se demora en llegar la clave dinamica por favor arrglen eso,autenticidad
16,Cada día más inservible esta app. La nueva actualización no deja correr el teclado. Mucho se demora en aparecer la clave dinámica,autenticidad
17,nivel de seguridad malísima y demora en hacer operaciones,autenticidad
18,tarda mucho en mandar la clave dinámica un estrés para pagar,autenticidad
19,"Esta app es una desgracia, desde fines de diciembre NO puede plinear porque jamás llega la clave dinámica, esto es insostenible!!",autenticidad
20,pésima no carga la clave dinámica creo que tienen que dar solución encima que pago seguro no me beneficia para nada,autenticidad
21,"Pésimo muy mal no puedo transferir mi dinero a yape o plin aparece una casilla de clave dinámica que jamas envían y ya más de 1 semana con este problema, antes esa clave dinámica no era necesaria para yape o plin ahora esta peor q nunca, pésimo me atrasé en mis pagos ,para q piden actualizar cada semana si no sirve su App",autenticidad
22,El código de confirmación nunca llega.,autenticidad
23,"Ahora hasta para plinear 5 soles te pide clave, que nunca llega y me quedo sin pagar o comprar algo, muy malo.",autenticidad
24,"La peor. Por qué tenemos que confiar cuando se nos pide que ""actualicemos""? cómo saber que es seguro hacer click para actualizar? para QUÉ se nos pide algo así??? No me pasa con otros bancos nunca!!!! no",autenticidad
25,"Sus actualizaciones son una moneda al aire, a veces funciona bien y otra no. Su última actualización es una porquería, nunca me llegan los código para hacer los pagos",autenticidad
26,"Hola,me he llevado un mal sabor de boca usando el aplicativo  Interbank,porque para poder hacer operaciones me obligan a  llenar datos y poner una imagen mía para poder ingresar a  la opción operaciones ,desperdiciando tiempo y también dinero ,ya que para poder realizar transferencias inmediatas a otros bancos se debe ingresar a dicha opción ,la cual para el colmo y lo principal de esta queja es que no permite cerrar el dicha pantalla y desde luego   navegar por otras opciones, volviendo a inici",autenticidad
27,"después de su última actualización es horrible, no ingresa, demora mas de 1min, la clave dinámica una eternidad para que llegue para eso ya paso el tiempo estimado para vencer una clave dinámica, fatal fatal, debería a ver opción en ponerle -5 estrellas para que sepan en que están fallando los desarrolladores de la app",autenticidad
28,siempre hay problemas con el aplicativo y siempre pide codigo de verificación,autenticidad
29,"La nueva actualización NO me deja realizar transferencias, a borrado mis operaciones frecuentes y encima ya no puedo enviar Constancia de transferencia por email o WhatsApp que antes se podía. La ""nueva actualización"" ahora es por Clave Dinámica en vez de Clave SMS para ""optimizar clics"" pero no pasa nada y de lo cual, a cada rato sale que ""Ocurrió un error mientras se realizaba tu operación"" y no me deja realizar ninguna de las operaciones anteriormente mencionadas. ¡Por favor, Mejoren la APP!",autenticidad
30,"La nueva versión de la App está muy pésimo, horribleee!!!, me estresa, cada ves que salgo y entro a otra cuenta, me pide registro de rostro, y de huella, y a veces no llega a cargar el registro de foto, dice inténtelo más tarde, así no se puede, tiene que mejorar, la antigua versión estaba mejor😡",autenticidad
31,la clave dinámica nunca llega es una porquería la app,autenticidad
32,"La app es malísima, más de media hora y clave dinámica no llega. luego cuando llega sale que ya expiró el tiempo de la clave o el tiempo de la sesión",autenticidad
33,"Muy mala aplicación, me pide una clave dinámica y nunca me llega el código una perdida de tiempo esta aplicación.",autenticidad
34,Nunca me llega el código de verificación,autenticidad
35,"Es una porquería la app no puede hacer transferencias nunca lleva la clave dinámica, no puede planear, esta por gusto mejor cambiarse de banco una decepción su aplicativo",autenticidad
36,"Clave dinámica no llega hasta que se sale de la app, y se reinicia la misma por si sola para luego tener el mismo problema solo que con notificación de la clave dinámica pasada tarde...",autenticidad
37,"Mala experiencia. Antes estaba bien, pero luego cuando abría la app no me dejaba poner mi contraseña, de ahí tuve problemas para plinear que estaba todo lento y se demoraba. Hace dos días tuve una emergencia y tenía que hacer un pago importante y no pude, la clave dinámica no llegaba hasta que expirara sesión, quería volver a intentarlo y ya ni me cargaba que se cerraba sola la app, no sabía que hacer porque no traía tanto efectivo.. ni más",autenticidad
38,"cuando uno necesita hacer una operación, la clave dinámica se demora una eternidad, y cuando llega, te dice que el tiempo límite paso, 😠😠😠",autenticidad
39,está app es una mrd no vale para nada . nunca llega ese código de mrd y no puedo hacer ningún pago por plin,autenticidad
40,"Deben despedir al que pensó la idea que incluir reconocimiento por rostro, esa tecnología no le funciona a nadie por qué no tienen cámaras profesionales y los algoritmos de reconocimiento confunden los rostros o no llegan a dimencionarlos correctamente, para que queremos una aplicación que no te permite hacer operaciones, no te da más opciones que el reconocimiento de rostro, por qué arruinan una aplicación que ya funciona",autenticidad
41,"una porquería la app. no puedo hacer ni transferencia ni plin, la clave digital demora en llegar demasiado",autenticidad
42,"Quiten esa clave dinámica porfavor, hace perder tiempo y no se puede realizar rápido un pago ya que a veces se demora hasta una hora en llegar!",autenticidad
43,"Pésima app desde sus últimas actualizaciones quedo más lenta y pesada no puedo transferir ni plinear x que nunca llega la clave dinámica y si llega se demora un montón pésimo servicio con la app, mejor me voy a cambiar de banco y moveré todo mi dinero y cuentas de ahorro ya que no me sirve de nada esta app.",autenticidad
44,"He leido las opiniones de los demás y se que hablaré en nombre de muchos, llevo días intentando hacer cualquier tipo de operacion y no puedo, la clave dinámica no llega, ya actualicé la app, borre caché y datos, reingrese al usuario, acepte todos los permisos que la app pide y no funciona. Mi número esta correcto, deberían hacer llegar la clave de forma provisional al correo electrónico mientras solventan este inconveniente, hay muchas personas que estamos perdiendo dinero por este fallo.",autenticidad
45,la verificación facial no es muy buena,autenticidad
46,"antes funcionaba bien su app, ahora que dicen haber actualizado está terrible, nunca llega la clave dinámica, no puedo hacer las operaciones , es un desastre, encima se llama para reclamar y dicen que su sistema está bien, que terrible.",autenticidad
47,la clave dinámica se demora demasiado en llegar o nunca llega,autenticidad
48,"Una verdadera porquería la actualización que a van de hacer, no debí acceder a actualizar, es la segunda vez que desintalo e instaló la app Interbank, y no me envían mi clave a mi celular para recuperar mi contraseña del aplicativo, no la contraseña de mi tarjeta sino del aplicativo y no envían nada, imbeciles hacen perder el tiempo que es vida.",autenticidad
49,ARREGLEN QUE LLEGUE EL CÓDIGO DE VERIFICACIÓN DIOS,autenticidad
50,"llevo semanas esperando la clave dinámica, fea app la verdad",autenticidad
51,"Desde hace un mes presenta problemas para ingresar, ni con huella digital, ni clave. Es rarisimo que entre normal y no esté lento. Siempre actualizo a las últimas versiones y no mejora, tengo un celular de gama alta con Internet 5g y es el único app que falla siempre. Consulto con otros compañeros y no presentan problemas tan seguidos como yo en otras apps de bancos. Genera demasiado malestar. Ya he desinstalado la app varias veces por si mejora, pero nada",autenticidad
52,"En varias ocasiones estoy teniendo problemas con la clave dinámica, y no le dan soluciones, me gustaba tanto esta aplicación y ahora se me convirtió en un dolor de cabeza.",autenticidad
53,no funciona el biométrico,autenticidad
54,pésima la aplicación...cada vez que quiero hacer una transferencia nunca me llega el código de clave dinámica y el Plin no lo puedo activar porque según mi número es otro .... arreglen eso por favor.,autenticidad
55,"no me llega la clave dinámica cada que quiero hacer un pago, el app es prácticamente inútil, no puedo hacer ningún pago sin que llegue la clave dinámica",autenticidad
56,"Una tontería lo de la clave dinámica, porque llevo días sin poder realizar plin y transferencias. pésimo!",autenticidad
57,Desde que se actualizo nunca llegan las claves dinámicas o demoran horas en llegar y siempre tengo que estar borrando la memoria cache de la app. Estoy cansada de esto hagan algo.,autenticidad
58,pésima actualización nunca me llega la clave dinámica para poder transferir o planear. malazo!!!!,autenticidad
59,la clave dinámica demora demasiados minutos en llegar y cuando llega ya expiró. Esto se repite cíclicamente.,autenticidad
60,"La aplicación tiene varias fallas, las maa graves para mi, no guarda los datos de tarjeta ni dni y hace que por solo saber el saldo uno deba llevar la tarjeta fisica para colocar datos y eso es muy inseguro, una falta completa de criterio, y al parecer no soy el unico que tiene esta falla, y otro que para buscar contactos em plin dura un eternidad y se cuelga y de nuevo ingresar datos, que incomodo, pido a interbank que hagan que su equipo de soporte lo mejore..................................",autenticidad
